foodname,calories,protein,fat,carbs,salt
Apfelkraut,231,0.9,1.0,52.1,0.008
Tortenguss klar (zubereitet mit Wasser und Zucker) für Gebäck/Torten,48,0.015,0.003,12.057,0.005
Reiswaffeln schokoliert,475,7.13,21.37,61.0,0.182
"Pflanzenfett/Frittierfett, pflanzlich",900,0.0,100.0,0.0,0.00105
Vollmilchschokolade gefüllt mit Karamell,533,4.57,30.37,57.3,0.28
Kokosflocken (aus Fondant),461,1.922,16.952,68.5,0.02
"Kalb Hals/Nacken/Kamm, tiefgefroren",109,21.2,2.66,0.0,0.26
"Lammfleischspieße mit Gemüse, gegrillt",161,12.4,11.3,1.7,0.36
"Tintenfische mehliert, gebraten",96,16.23,2.2,2.25,1.005
Weizenbrötchen mit Mohn,298,9.6,3.3,55.0,1.438
"Kuchenboden/Tortenboden, kakaohaltig (Mürbeteig, einfacher)",428,8.61,18.28,55.5,0.222
Apfelkuchen gedeckt (Mürbeteig),219,3.7,9.9,27.4,0.06
"Pute Flügel, mit Haut, gegrillt",294,31.1,18.9,0.0,0.19
Barbecuesauce/Grillsauce,112,1.15,7.27,9.24,0.612
"Käsealternative, Basis Cashewkerne, vegan",440,14.97,33.559,18.5,0.972
Vollkornbrötchen mit Kürbiskernen,296,11.2,5.59,45.0,1.352
Salatcreme (Fertigprodukt),300,1.4,27.018,11.92,1.715
Roggenvollkornknäckebrot mit Kürbiskernen,370,13.77,9.15,49.3,1.3048
Rotkohl geschmort ohne Fett,50,2.763,0.318,6.664,0.048
Fleischkäse gebraten,314,14.34,28.02,0.62,2.1505
Roggenbrot mit Sonnenblumenkernen,223,6.59,3.04,38.0,1.132
Tangerinensaft,42,0.9,0.24,8.08,0.0062
Dinkelvollkornknäckebrot mit Ölsamen,429,16.4,18.2,45.0,1.838
"Cornflakes gesüßt, mit Zuckerglasur und Erdnüssen, angereichert mit Vitaminen und Mineralstoffen",396,6.2,3.9,82.5,0.822
Roggenvollkornbrötchen mit Nüssen,275,7.87,6.36,40.0,1.315
Göttinger Schinkenwurst,375,21.78,31.89,0.18,3.8
"Vanilleflammeri/Vanillepudding, mit Eigelb",143,4.6,5.26,19.16,0.148
Cookies mit Schokoladenstückchen,488,6.48,22.18,64.0,0.188
Roggenbrot mit Kürbiskernen,225,7.04,2.98,38.0,1.138
Kolbacz,453,20.04,41.37,0.0,3.8
Weizenvollkornbrot mit Ölsamen,235,9.3,3.25,38.0,1.125
Aufschnitt-Grundbrät,218,14.16,17.86,0.09,2.2
Schmierwurst fettreich,327,18.28,28.15,0.12,2.8
Schafskopf (Meerbrasse) gedünstet,93,18.0,2.3,0.0,0.18
Rhabarberkaltschale gebunden mit Grieß,48,0.55,0.09,9.87,0.005
Vollkornplunderteig roh,352,6.88,21.57,30.0,0.748
"Schwein Brät, roh",268,12.49,24.13,0.09,1.7882
Meerrettichsoße Konserve,132,4.02,7.8,9.97,1.278
Roggenbrot mit Ölsamen,223,6.6,2.92,38.0,1.138
Pralinen gefüllt mit Vanillecreme,560,5.4,36.08,52.5,0.158
Dinkelbrot,221,8.4,2.39,38.0,1.185
"Hefeteig für Pizza/Pizzateig, roh",244,6.2,6.81,38.0,0.505
"Getränkepulver malzhaltig, angereichert mit Vitaminen und Mineralstoffen",363,9.817,1.8,74.9,0.37
Schokoladen-Mandel-Cookies vegan,527,9.44,33.2,44.1,0.282
Rote Grütze ungesüßt,57,0.9,0.3,10.6,0.005
Dinkelvollkornbrötchen mit Sonnenblumenkernen,297,11.5,6.11,45.0,1.362
Schokoladentorte (Rührmasse),432,7.97,22.59,47.5,0.242
"Schwein Kamm, gegrillt",217,24.27,13.34,0.0,0.1608
Pampelmusensaft/Pomelosaft,35,0.8,0.3,6.22,0.005
Wildlachs tiefgefroren,180,19.9,11.2,0.0,0.12
Wasserbiskuitboden,306,8.5,3.69,58.7,0.298
Wels gedünstet,117,13.5,7.0,0.0,0.048
Buttermilchsuppe gesüßt,69,3.08,1.67,9.88,0.112
Weizenbaguettebrötchen,289,9.6,1.51,57.0,1.492
"Karotten/Möhren, gedünstet (mit Fett und Salz)",66,0.73,4.2,5.04,0.422
Bulgur (Hartweizen) gekocht,152,5.5,0.9,29.1,0.01
Kichererbsen gekocht (mit Fett und Salz),128,6.0,4.6,13.1,0.115
Joghurteis,124,3.9,2.5,21.01,0.1
Schellfisch gebraten ohne Fett (Pfanne),87,20.3,0.65,0.0,0.18
Milchbrötchen (Hefeteig),337,8.9,11.54,48.0,0.102
"Fruchtmischung ungesüßt, roh",62,0.751,0.4,12.3,0.002
Ananas-Joghurtsahne für Gebäck/Torten,160,2.6,10.1,14.2,0.058
Quarkspeise mit Sauerkirschen,119,6.05,5.1,11.66,0.09
Croissant (Hefeblätterteig/Plunderteig) gefüllt mit Nuss-Nougat-Creme,465,8.0,26.04,48.0,0.715
Roggenvollkornbrötchen mit Ölsamen,267,8.44,5.17,40.0,1.322
Zucchini gedünstet (mit Fett und Salz),70,1.6,4.9,4.0,0.248
Paprika gedünstet (mit Fett und Salz),56,0.96,2.8,5.53,0.245
Schwertfisch-Rouladen gebraten,173,22.84,8.49,1.0,0.89
Lammfilet gebraten,274,25.6,19.1,0.0,0.752
Trüffel gedünstet,103,11.673,0.718,0.8,0.27
Sirupkuchen,337,6.4,6.0,63.2,0.475
Honigkuchenhäufchen,375,5.9,7.4,69.2,0.172
"Kidneybohne reif, gekocht",129,8.6,1.0,15.2,0.0012
Milchschokolade gefüllt mit Fruchtcreme,554,3.8,34.0,57.3,0.12
Kaviarcreme/Kaviarpaste,412,8.6,36.2,12.72,4.9
Rinderfiletsteak gebraten,180,25.92,8.46,0.02,0.458
Karamellbonbon zuckerfrei,275,0.224,8.279,83.0,1.152
Blätterteig (mit Butter) roh,465,5.2,35.67,29.75,0.195
Apfel-Streuselkuchen (Rührmasse),219,3.1,9.09,30.0,0.128
"Pfefferschote rot, gedünstet",44,2.03,0.48,6.73,0.025
Roggenbrötchen mit Kürbiskernen,282,9.58,5.21,45.0,1.315
Vollmilchschokolade gefüllt mit Frucht-Vanillecreme,560,5.4,36.08,52.5,0.158
Weinbrand-Bohnen,472,3.57,21.32,54.7,0.015
Rindersteak gebraten (mit Fett und Salz),183,29.14,7.37,0.02,0.525
"Pute Flügel, mit Haut, gebraten ohne Fett (Pfanne)",264,27.5,17.1,0.0,0.162
Laugengebäck mit Käse,279,9.2,3.4,51.0,1.322
Blattspinat gedünstet (mit Fett und Salz),70,2.401,5.759,1.08,0.468
"Sprühsahne/Schlagsahne, gesüßt, mind. 30 % Fett",309,2.4,30.0,7.2,0.08
"Fruchtsoße gezuckert, Konserve",177,0.5,0.3,41.7,0.005
Kirsche kandiert (Belegkirsche),214,0.513,0.177,48.2,0.002
Zwiebeln gebraten,66,1.72,1.808,9.42,0.488
Roggenmischbrot mit Kürbiskernen,238,7.98,3.05,41.0,1.18
"Knäckebrot glutenfrei, laktosefrei",382,8.8,6.1,71.0,1.21
Schokokekse glutenfrei,483,5.21,22.87,62.4,0.39
"Sandmasse/Sandteig, roh",407,4.94,22.85,44.9,0.208
Gurke gedünstet,18,1.154,0.217,2.14,0.008
Mais gekocht (mit Fett und Salz),101,2.21,2.686,16.044,0.19
Haferflockenplätzchen,448,8.67,21.87,51.8,0.322
Gemüse-Eintopf/Gemüsepichelsteiner,61,1.67,2.1,8.0,0.388
"Pfannkuchen/Eierkuchen, ungesüßt, mit Milch 3,5 % Fett, gebraten",267,8.34,12.12,30.1,0.33
Bitterschokolade mit Trüffelfüllung,547,7.12,37.77,40.0,0.02
Vollmilchschokoladen-Riegel gefüllt mit Joghurt-Erdbeercreme,565,4.6,35.65,55.5,0.14
Zitronenkekse glutenfrei,445,4.427,19.603,60.41,0.088
"Cornflakes gesüßt, mit Zuckerglasur und Erdnüssen",396,6.2,3.9,82.5,0.822
Rehrücken (Wiener Boden hell),493,9.76,32.26,38.5,0.27
Tintenfisch geschmort ohne Fett,71,15.094,1.22,0.0,1.065
Forelle gebraten ohne Fett (Ofen),197,28.047,9.2,0.0,0.13
Weinkraut mit Apfel gedünstet,72,1.03,4.26,5.2,0.212
Roggenmischbrot mit Buttermilch,221,6.85,0.81,43.0,1.242
"Pfitzauf/Kuchenmichel, gebacken",242,8.21,9.47,30.07,0.155
Vollkornbrötchen,282,9.9,3.18,48.0,1.458
Rotkappe gedünstet,48,3.061,1.099,4.6,0.0
"Fasan Fleisch, mit Haut, tiefgefroren",154,23.75,6.55,0.0,0.08
"Geflügel Frikadelle, roh",105,14.8,3.2,4.0,1.26
"Schwemmklößchen, Suppeneinlage",164,6.84,6.88,18.03,0.35
Dinkelvollkornbrötchen mit Kürbiskernen,299,12.0,6.02,45.0,1.362
Weizentoastbrot mit Roggen,263,8.38,3.35,48.0,1.238
Laugengebäck mit Kürbiskernen,277,9.1,3.56,50.0,1.288
Roggenmischbrot mit Sonnenblumenkernen,236,7.52,3.11,41.0,1.178
"Porridge gesüßt, mit Milch 3,5 % Fett",141,6.1,4.74,17.4,0.105
Steinpilz getrocknet,270,31.479,2.332,19.06,0.088
Toastbrot glutenfrei,221,1.643,4.023,44.0,1.095
Hammelfilet gebraten,274,25.64,19.051,0.0,0.752
"Polenta (Maisgrieß mit Wasser, Fett und Salz) gekocht",114,1.705,6.0,12.37,0.388
Blumenkohl tiefgefroren,33,1.3,0.311,5.62,0.03
Sauerteigbrot glutenfrei,180,5.2,1.6,34.4,1.005
Mokkasahne für Gebäck/Torten,296,3.5,25.6,12.7,0.085
Vanille-Milchsuppe gebunden mit Grieß,85,3.72,3.34,10.0,0.105
Himbeerkompott zuckerreduziert,56,0.9,0.259,9.0,0.002
Zuckererbse gekocht,40,3.3,0.4,5.0,0.002
"Sahnejoghurt mind. 10 % Fett, mit Vanillezubereitung, gesüßt",140,2.7,8.305,12.9,0.098
Dinkelbrötchen mit Ölsamen,304,11.3,5.3,50.0,1.362
"Schwein Kamm, mariniert, gegrillt",262,22.87,18.76,0.16,1.2
Kürbis-Mandel-Kuchen (Biskuitmasse),276,9.25,13.61,27.0,0.102
"Rind Filet/Lende, tiefgefroren",121,21.2,4.0,0.0,0.1
"Porridge gesüßt, mit Milch 3,5 % Fett und Kakaopulver",142,6.16,4.76,17.4,0.11
Italian Dressing,547,0.075,59.4,0.5,1.558
"Baby-Pute Fleisch, mit Haut, gebraten ohne Fett (Pfanne)",207,30.489,9.431,0.0,0.195
Cappuccino (Getränk) aus gesüßtem Instantpulver,31,0.795,0.838,4.65,0.135
Vollkornbrötchen mit Nüssen,302,10.1,6.77,45.0,1.35
"Kalbsschnitzel mehliert, gebraten",129,23.94,2.3,2.5,0.582
Grapefruitsaftschorle,18,0.265,0.05,3.653,0.005
Kirschtorte (Mürbeteig und Rührmasse),356,6.02,17.81,41.9,0.135
Heilbuttfilet pochiert (ohne Sauce),136,20.079,6.21,0.0,0.328
Knollensellerie gebacken,35,1.824,0.388,3.26,0.228
"Backteig ungesüßt, mit Bier, roh",204,7.2,6.35,26.52,0.388
Meerrettich gekocht,79,5.566,0.284,11.055,0.02
"Speisequarkzubereitung mind. 20 % Fett i. Tr., mit Kräutern",94,10.09,4.08,3.55,0.895
"Quarkspeise einfach, mit Erdbeeren",82,6.23,1.24,10.63,0.065
"Käsealternative, Basis Pflanzenfett, vegan, angereichert mit Vitamin B12 und Calcium",293,0.156,23.043,21.168,2.152
Vollkornbrot mit Buttermilch,212,7.47,1.06,38.0,1.208
Eier-Frischteigwaren roh,297,12.05,3.8,51.8,1.002
Maiskekse glutenfrei,445,4.38,19.395,60.945,0.088
"Thunfisch in Tomatensauce, Konserve",126,11.9,5.6,6.6,0.998
"Hirsch Fleisch, gebraten ohne Fett (Ofen)",150,28.779,3.929,0.0,0.198
"Rote Grütze gezuckert, Konserve",111,0.6,0.2,25.4,0.005
Rinderkraftbrühe mit Tapioka (Sago),11,0.4,0.2,1.897,0.61
Roggenvollkornbrötchen mit Kürbiskernen,269,8.92,5.22,40.0,1.32
Dinkelvollkornbrötchen mit Nüssen,305,10.9,7.21,45.0,1.36
Milchschokolade mit Erdnüssen,530,8.4,30.7,53.4,0.15
Lammfleisch-Salami,371,21.22,31.75,0.0,3.8
Himbeerkompott,70,0.8,0.248,12.9,0.002
Mehrkorntoastbrot mit Ölsamen,282,9.58,5.6,46.0,1.105
Hallimasch gedünstet,53,4.466,0.958,4.2,0.14552
Kokosschnitten (Rührmasse),473,6.81,32.68,36.1,0.48
Rinderfilet gebraten im Ofen (mit Fett und Salz),158,25.401,6.245,0.0,0.528
Lachs gesalzen,207,22.127,13.145,0.0,2.9955
Roggenvollkornbrot mit Nüssen,214,5.98,3.91,33.0,1.092
"Schaf Bug/Schulter, mager, geschmort ohne Fett",193,29.2,8.45,0.0,0.165
"Hefeteig, gesalzen, mit Milch 3,5 % Fett, roh",348,8.5,12.81,48.0,0.33
"Alaska-Pollack/Alaska-Seelachs, gebraten ohne Fett (Pfanne)",67,14.6,0.92,0.0,0.29
Bratwurst-Grundbrät,267,12.47,24.1,0.09,1.907
Hirse gedünstet (mit Fett und Salz),162,4.37,4.78,24.8,0.2202
Weißer Thun tiefgefroren,121,27.2,1.37,0.0,0.1942
"Rind Hochrippe, gebraten ohne Fett (Ofen)",204,29.445,9.612,0.0,0.162
Roggenvollkornknäckebrot mit Gerstenmalz,332,9.3,1.33,60.6,1.238
Kalbsgulasch,105,15.3,4.2,1.3,0.76
Stollen (Vollkornhefeteig),378,6.9,18.2,43.0,0.54
Gemüsesaft aus Karotte/Möhre,22,0.63,0.32,3.717,0.091
Kalbsrücken gebraten im Ofen,151,26.76,4.83,0.01,0.585
"Dorsch/Kabeljau, gegrillt",106,23.9,1.1,0.0,0.248
"Mandel süß, geröstet mit Fett, gesalzen",557,21.216,48.643,3.75,0.832
Schwarz-Weiß-Gebäck (Mürbeteig),460,6.78,19.82,62.2,0.22
Fruchtgummi zuckerfrei,220,7.7,0.0,77.0,0.038
"Weißwein-Schorle, süß, mit Zitronenlimonade",51,0.051,0.0,4.7,0.012
Schinkenwurst Krakauer Art (Rohwurst),293,24.13,21.75,0.18,3.8
Hirsebrot glutenfrei,229,7.4,4.7,37.2,1.07
Dinkelvollkornbrötchen,285,10.8,3.63,48.0,1.47
Birne gedünstet,60,0.309,0.299,13.56,0.002005
"Barsch Müllerinart (mehliert, gebraten)",97,17.6,1.3,2.83,0.342
Marmelade (hergestellt aus Zitrusfrüchten),240,0.5,0.1,57.8,0.01
Grünkern gekocht (mit Fett und Salz),199,5.65,4.8,30.22,0.3712
Butterkuchen/Zuckerkuchen (Hefeteig),429,8.96,21.09,49.0,0.078
Zuckermais gebraten ohne Fett (Pfanne),77,3.77,1.414,10.8,0.005
Heidelbeeren gezuckert,82,0.5,0.562,15.35,0.005
Feiner Honigkuchen,337,7.48,6.7,59.9,0.088
Rote-Bete-Gemüse gedünstet,59,1.34,3.4,4.85,0.315
"Mettwurst luftgetrocknet, energiereduziert",218,26.45,12.47,0.0,3.8
Kalbsfilet gebraten im Ofen,151,28.7,3.98,0.02,0.605
Trockenfrüchte mit Vollmilchschokoladenüberzug,426,4.5,17.8,58.8,0.12
Russisch-Brot (Eiklarmasse),383,9.7,0.92,82.4,0.298
Roggenvollkornbrot mit Ölsamen,207,6.44,2.9,33.0,1.095
"Schweinefilet geschmort, mit Sauce",120,13.8,6.7,0.83,0.372
"Lammkeule gebraten im Ofen provenzalische Art, mit Sauce",180,23.55,9.44,0.02,0.668
Gulasch einfach (mit Rindfleisch),133,13.2,7.5,3.0,0.688
Tintenfisch gegrillt,107,23.549,1.46,0.0,1.445
Roggenbrötchen mit Sonnenblumenkernen,281,9.09,5.3,45.0,1.315
Waffelkekse,295,5.44,13.02,37.9,0.07
"Schwein Vordereisbein/Vorderhaxe, Kochpökelware",155,19.74,8.2,0.439,1.8
"Pute Brust, ohne Haut, gegrillt",139,31.711,1.303,0.0,0.135
Karpfen gesalzen,136,20.147,6.12,0.0,2.205
Frühlingszwiebel/Lauchzwiebel (ohne Laub) gebraten ohne Fett (Pfanne),51,1.4,0.238,9.5,0.052
Schellfisch gedünstet,71,16.4,0.59,0.0,0.185
Roggenvollkornbrot mit Quark,192,6.2,0.84,34.0,1.145
Amaranth gekocht,119,4.48,1.79,19.88,0.00082
Hühnerleber gebraten,149,19.97,6.39,2.77,0.72
Bitterschokolade gefüllt mit Pfefferminzcreme,504,5.46,24.8,52.1,0.012
Ostpreußischer Honigkuchen,406,6.44,10.88,69.14,0.092
Roggenbrot mit Buttermilch,209,5.9,0.82,40.0,1.192
Romanesco gebacken,50,3.414,0.394,7.52,0.042
"Polenta (Maisbrei mit Wasser, Rapsöl und Salz) gekocht",114,1.703,6.035,12.351,0.432
Dinkelknusperbrot,395,13.34,5.7,69.3,0.78
"Corned Beef, deutsches, mit Schweineschwarten Konserve",159,25.1,6.4,0.29,2.2
Mehlmischung für Brot glutenfrei,342,4.1,0.7,78.2,0.39
"Forelle tiefgefroren, gedünstet",118,17.768,5.048,0.0,0.278
"Linse reif, gekocht",119,9.083,0.7,15.5,0.0012
"Käsebrot überbacken (""Welsh rarebit"")",319,19.2,17.69,18.64,1.835
"Konfitüre extra, mit Fruchtzucker und Süßungsmitteln",157,0.4,0.2,36.9,0.022
Grundsuppe hell,39,0.7,2.6,3.13,0.808
Marmorkuchen mit Kirschen (Rührmasse),286,5.51,14.79,31.6,0.258
Gemüsesaft aus Speisezwiebel,25,0.983,0.12,4.81,0.02
"Toastschnitten mit Schinkencreme, gebacken",210,10.01,11.52,15.46,1.29
Sushi-Reis (Grundrezept),104,2.306,0.18,22.7,0.102
Wasabi-Paste Konserve,94,5.4,2.23,10.189,4.805
Hirsebratlinge gebraten,192,6.6,12.0,13.4,0.57
Erdbeeren gezuckert,51,0.789,0.385,9.505,0.002
"Kaiserschmarren (mit Milch 3,5 % Fett) gebraten",250,8.1,13.2,23.4,0.185
"Rind Fleisch, grob entsehnt, sichtbarer Fettanteil max. 10 % (R III) roh",190,19.93,12.25,0.0,0.15
Johannisbeersaft schwarz,55,1.238,0.176,10.01,0.0024
Nonpareille,388,0.129,0.024,91.4,0.008
Kalb Schnitzel (Keule) gegrillt,116,26.854,0.915,0.0,0.248
Buttermilchkaltschale gesüßt,68,3.2,0.6,11.4,0.132
"Wildschwein Fleisch, gebraten ohne Fett (Pfanne)",214,28.068,11.273,0.0,0.302
Frankfurter grüne Kräutersauce,144,2.8,12.9,3.7,0.52
"Gemüsepaprika gelb, gekocht",28,0.809,0.202,4.471,0.002
Schokoladenfondant,383,1.8,10.6,69.0,0.032
Rhabarber-Streuselkuchen (Mürbeteig),260,3.77,11.74,32.6,0.155
Schinkenhörnchen (Quarkblätterteig),437,11.62,32.62,23.15,0.685
Schinkenwurst roh,386,21.84,33.11,0.18,3.5
Meerrettichschaum,174,3.21,15.6,4.8,0.35
Eiserkuchen (Rührmasse),292,5.33,11.74,40.56,0.105
"Speisequarkzubereitung mind. 10 % Fett i. Tr., mit Kräutern",77,9.6,2.27,3.8,0.81
Schinkentorte,118,19.1,3.8,1.0,1.6
"Knuspermüslimischung, klassisch, gesüßt",421,9.0,15.95,56.4,0.53
Weizenvollkornknäckebrot mit Ölsamen,433,16.4,20.3,40.0,1.8
Weizenmischbrötchen mit Sonnenblumenkernen,303,9.6,5.25,51.0,1.355
Risotto gedünstet mit Gemüsebrühe,153,2.87,4.1,25.8,0.442
Rinderkraftbrühe mit Gemüse,23,0.9,1.5,1.2,0.57
Weizenmischbrot mit Ölsamen,236,7.98,3.01,41.0,1.15
Gulasch (mit Schweinefleisch),150,18.2,8.3,0.6,0.538
Languste gekocht,76,15.926,1.358,0.0,0.478
"Teltower Rübchen gedünstet, mit Sahne",77,0.95,5.0,5.81,0.395
"Milchmischgetränk 1,5 % Fett, mit Kakao/Schokolade, gesüßt, angereichert mit Vitaminen",63,3.61,1.6,8.4,0.095
Butterpilz gedünstet,44,3.589,0.507,4.6,0.02
"Grünkern Grütze, gekocht",92,3.08,0.74,16.44,0.0005
Kalbsbraten ohne Sauce,114,21.5,2.2,1.6,0.53
Steinpilze gebraten mit Tomaten,63,5.25,1.74,4.27,0.278
Nusskuchen (Sandmasse),500,6.84,31.79,45.4,0.165
Schokoladenflammeri/Schokoladenpudding,126,3.88,4.04,18.3,0.14
"Sojaschnetzel/Sojagranulat, texturiert, eingeweicht, gebraten ohne Fett (Pfanne)",99,14.17,1.8,3.96,0.0058
Pilaw (Reis mit Zwiebeln und Butter),167,3.14,4.7,27.4,0.548
Gemüsesaft aus Gurke,12,0.903,0.16,1.57,0.008
Roggenmischbrot mit Ölsamen,236,7.52,2.99,41.0,1.182
"Emmer ganzes Korn, gekocht",182,6.99,1.18,33.77,0.0008
Nusskranz (Quark-Öl-Teig),405,9.6,21.25,42.1,0.53
Gurke gekocht,17,1.086,0.205,2.01,0.008
Schokobrötchen (Hefeteig),370,8.31,14.33,50.0,0.278
Vanillesahneeis,292,3.6,25.06,13.04,0.088
Colabier (Pilsner Bier mit Cola),40,0.211,0.0,6.259,0.002
Schweinebraten (Pulled Pork) Konserve,197,26.8,7.6,5.0,1.968
Matjes mit Zwiebeln,170,14.0,12.01,0.29,8.24
"Schwein Kotelett (Rücken/cranial) mariniert, gegrillt",258,24.66,17.59,0.16,1.2
Weizenvollkornknäckebrot mit Ölsamen und Hartkäse,442,19.3,20.8,39.0,1.845
Basler Leckerli,383,6.15,6.9,72.3,0.168
Mehrkornbrot mit Ölsamen,248,7.94,3.62,42.0,1.138
Käse-Grießnockerl,381,13.75,26.89,20.08,0.972
"Rind Keule, geschmort ohne Fett",188,28.6,8.2,0.0,0.1195
Laugengebäck (Hagelsalz entfernt),283,9.203,4.145,50.0,2.0935
"Schaf Filetsteak, gebraten ohne Fett (Pfanne)",156,31.38,3.44,0.0,0.151
Fruchtsaftgetränk Apfel,33,0.029,0.0,8.174,0.01
"Lamm Bug/Schulter, gebraten ohne Fett (Ofen)",155,26.871,5.257,0.0,0.212
Butterzwieback,421,13.21,9.51,68.0,0.715
Schokoladensauce mit Kuvertüre und Sahne,317,3.05,22.44,24.3,0.042
"Hecht gefüllt, gebacken",104,19.0,2.6,1.0,0.495
"Braunschweiger Mettwurst, fettreduziert",203,21.54,12.95,0.12,2.5
Gulasch Esterhazy (mit Rindfleisch),135,12.04,8.2,2.5,0.2
"Hirsebrei ungesüßt, mit Mandeldrink",92,3.11,1.9,15.12,0.0825
Rheinische Bratwurst,215,10.92,18.96,0.08,1.922
Vollkornbrot mit Kürbiskernen,231,8.54,3.23,37.0,1.15
"Weizen ganzes Korn, gekocht",176,6.8381,0.927,31.6,0.01
"Heringsfilet mehliert, gebraten",188,18.4,10.37,5.19,0.61
Quarktaschen (Quark-Öl-Teig),308,9.0,11.4,41.1,0.358
Vollmilchschokolade gefüllt mit Mokka-/Kaffeecreme,538,6.7,33.6,51.1,0.205
Laugengebäck mit Sonnenblumenkernen,276,9.0,3.58,50.0,1.285
Rosenkohl gedünstet (mit Fett und Salz),64,3.35,4.0,1.87,0.282
Vollkorncroissant (Plunderteig),419,8.5,24.02,39.0,0.872
"Gans Schenkel, mit Haut, geschmort ohne Fett",195,22.57,11.618,0.0,0.1085
"Rind Hackfleisch, roh",224,19.102,16.39,0.0,0.145
Vanillesauce,118,4.0,4.61,15.16,0.088
"Reis unpoliert, gedünstet (mit Fett und Salz)",169,2.851,6.193,24.78,0.102
Spargel gebacken,33,2.306,0.184,4.69,0.0063
Erdbeerbowle,67,0.227,0.086,3.56,0.005
Rosinen-Mandel-Schnecken (Hefeteig),370,7.7,15.0,49.0,0.092
Gyros (Schweinefleisch) gebraten,230,24.35,14.48,0.5,0.515
Buchteln (Hefeteig),331,7.32,12.46,46.0,0.075
"Hähnchen ganz, entbeint, mit Haut, gebraten ohne Fett (Ofen)",208,24.17,12.37,0.0,0.174
Schokoladenauflauf,292,7.1,16.81,27.2,0.135
Mandelhörnchen (Rührmasse),344,7.82,19.06,34.2,0.288
"Fleischersatz gluten-, milch- und sojahaltig",128,17.0,2.7,8.7,0.75
"Hähnchenbrustfilet im eigenen Saft, Konserve",117,24.65,1.91,0.29,1.5
Rhabarberkaltschale gebunden mit Stärke,41,0.299,0.07,8.556,0.008
Nährzwieback,421,12.82,9.52,69.0,1.24
Schokoladenbrezeln (Mürbeteig),482,7.88,26.44,50.6,0.398
"Weizen Flocken, gekocht",56,2.1679,0.31,10.02,0.002
Kalb Roulade (Keule) tiefgefroren,89,20.7,0.72,0.0,0.215
Spargel gekocht (mit Fett und Salz),72,2.013,4.88,4.11,0.505
Dinkelbrot mit Ölsamen,246,9.14,3.97,41.0,1.138
Dinkelzwieback ungesüßt,410,13.77,7.17,69.0,0.932
Karpfen blau (im Essigsud pochiert),96,13.744,4.2,0.206,0.165
Essigmarinade für Salat,399,0.09,43.4,0.34,0.825
"Speiseeis (Schoko, Vanille) gemischt",213,3.0,10.32,25.94,0.0978
"Roggen Backschrot, Type 1800, gekocht",47,1.4,0.21,8.43,0.0002
Weizenmischbrot mit Kümmel,220,7.03,0.84,43.0,1.2
"Pute Fleisch, ohne Haut, gebraten ohne Fett (Ofen)",146,30.067,2.9,0.0,0.248
Wespennester (Eiklarmasse),466,11.0,23.62,49.69,0.085
Entenbrust gebraten im Ofen (mit Fett und Salz),368,28.68,28.09,0.03,0.605
Speisezwiebel tiefgefroren,37,1.284,0.167,6.68,0.025
Milchschokolade mit Mandel-Nougat,519,6.52,28.95,56.44,0.17
Weizenmischbrötchen mit Ölsamen,294,9.2,3.96,52.0,1.408
Wildreismischung gedünstet (mit Fett und Salz),170,4.438,5.61,24.78,0.105
Teegebäck (Mürbeteig),476,7.51,23.68,56.8,0.295
"Chinakohl gedünstet, mit geriebenem Käse",56,2.1,4.32,1.4,0.338
"Butterkekse/Butterplätzchen, kakaohaltig (Vollkornmürbeteig)",522,7.79,30.9,49.4,0.162
Schalotte gebraten ohne Fett (Pfanne),53,3.2,0.2,5.1,0.042
"Pute Brust, ohne Haut, mariniert, roh",127,21.76,3.6,1.66,0.965
Trüffel-Pralinen,547,7.12,37.77,40.0,0.02
"Schwein Bauch (wie gewachsen) mariniert, roh",339,16.29,30.32,0.11,1.0
Sahneschokolade gefüllt mit Karamell,541,5.03,30.99,57.2,0.268
Schwein Bratenfleisch (Nuss) gebraten ohne Fett (Ofen),143,29.54,2.78,0.0,0.159
"Eierteigwaren glutenfrei, roh",369,8.06,3.599,74.7,0.128
Fleischspieße (Kalb- und Schweinefleisch) gegrillt,120,12.69,6.02,3.17,0.312
Karamellsauce,138,3.5,4.17,21.54,0.078
"Milchmischgetränk 3,5 % Fett, mit Kakao/Schokolade, gesüßt",78,3.7,3.5,7.6,0.095
Frühlingszwiebel/Lauchzwiebel (ohne Laub) geschmort ohne Fett,41,1.1,0.186,7.49,0.04
Getreideflakes gesüßt,348,9.7,1.6,70.2,0.835
Seehecht pochiert,68,13.299,1.59,0.0,0.23
Spiegelei gebraten,210,13.419,17.193,0.353,0.962
Roggenvollkornbrot mit Buttermilch,190,5.77,0.88,34.0,1.148
Pflaumensuppe passiert,72,0.29,0.165,16.6,0.002
Kräuteressig,27,0.0,0.0,0.003,0.982
Schafskäse (Feta) mit Tomaten und Oliven gebacken,208,9.1,17.9,1.71,1.542
"Schwein Frikadelle, roh",205,13.17,15.04,4.0,1.3
"Bohne grün, gebraten ohne Fett (Pfanne)",32,2.572,0.276,3.9,0.0057
Rumkugeln,394,2.89,6.3,80.0,0.12
"Augenbohne reif, gekocht",114,8.6,0.47,16.157,0.012
"Weizen Grütze, gekocht",98,3.71,0.41,19.15,0.0005
Alkopops,66,0.0,0.0,8.93,0.002
Haselnuss-Dreispitz (Mürbeteig),507,9.6,27.82,53.0,0.185
